name,genre,country,chanel,start,end
天天向上,脱口秀,原创,湖南卫视,2008,2017
天下女人,脱口秀,原创,山东卫视,2013,2013
天下足球,脱口秀,原创,CCTV,2000,2017
挑战不可能,选秀,原创,CCTV,2015,2016
挑战者联盟,真人秀,原创,浙江卫视,2015,2016
同一首歌,真人秀,原创,CCTV,2000,2009
头号惊喜,真人秀,原创,湖南卫视,2016,2016
透鲜滴星期天,真人秀,原创,湖南卫视,2016,2017
吐槽大会,脱口秀,原创,腾讯视频,2017,2017
完美邂逅,真人秀,韩国,贵州卫视,2014,2015
完美星开幕,真人秀,原创,CCTV,2014,2014
王牌碟中谍,真人秀,英国,浙江卫视,2013,2014
王牌对王牌 ,真人秀,原创,浙江卫视,2016,2017
为母校而战,真人秀,原创,东南卫视,2015,2017
为你而来,选秀,原创,湖南卫视,2017,2017
为她而战,真人秀,原创,江苏卫视,2015,2015
围炉音乐会,真人秀,原创,四川卫视,2016,2017
文学英雄,脱口秀,原创,河南卫视,2015,2017
我爱好声音,选秀,原创,浙江卫视,2014,2014
我不是明星,真人秀,原创,浙江卫视,2013,2015
我的中国星,选秀,韩国,湖北卫视,2013,2013
我看你有戏,选秀,原创,浙江卫视,2015,2015
我们的法则,真人秀,原创,安徽卫视,2016,2016
我们的挑战,真人秀,韩国,江苏卫视,2015,2017
我们都爱笑,脱口秀,原创,湖南卫视,2014,2015
我们十七岁,真人秀,原创,浙江卫视,2016,2017
我们相爱吧,真人秀,韩国,江苏卫视,2015,2016
我们约会吧,选秀,澳大利亚,湖南卫视,2009,2015
我们战斗吧,真人秀,原创,江苏卫视,2016,2016
我去上学啦,真人秀,韩国,浙江卫视,2015,2016
我是独角兽,选秀,原创,北京卫视,2016,2016
我是歌手,真人秀,原创,湖南卫视,2013,2017
我是演说家,选秀,原创,北京卫视,2014,2015
我为歌狂,真人秀,荷兰,安徽卫视,2013,2014
我为喜剧狂,真人秀,原创,湖北卫视,2014,2016
我想和你唱,选秀,原创,湖南卫视,2016,2016
我心唱响,选秀,荷兰,东方卫视,2011,2012
我型我秀,选秀,原创,东方卫视,2004,2009
我要上春晚,选秀,原创,CCTV,2010,2017
舞动奇迹,真人秀,英国,湖南卫视,2007,2011
舞动全城,真人秀,原创,云南卫视,2014,2014
舞林大会,真人秀,原创,东方卫视,2008,2012
舞林争霸,选秀,美国,东方卫视,2013,2013
西游奇遇记,真人秀,原创,浙江卫视,2015,2016
喜剧总动员,脱口秀,原创,浙江卫视,2016,2016
喜乐街,真人秀,德国,CCTV,2014,2014
囍从天降,真人秀,韩国,天津卫视,2015,2017
夏日甜心,真人秀,原创,湖南卫视,2016,2016
向往的生活,真人秀,韩国,湖南卫视,2017,2017
晓说 ,脱口秀,原创,优酷土豆,2012,2017
笑傲帮,脱口秀,原创,东方卫视,2016,2017
笑傲江湖,真人秀,原创,东方卫视,2014,2016
笑星闯地球,脱口秀,原创,东方卫视,2016,2017
心动的味道,真人秀,原创,安徽卫视,2016,2017
星厨集结号,真人秀,原创,天津卫视,2016,2017
星厨驾到,真人秀,原创,江苏卫视,2014,2016
星动亚洲,选秀,原创,安徽卫视,2015,2016
星光大道,选秀,原创,CCTV,2004,2017
星球者联盟,真人秀,原创,东方卫视,2016,2016
星跳水立方,真人秀,德国,江苏卫视,2013,2013
星星的密室,真人秀,原创,浙江卫视,2015,2015
幸运52,选秀,英国,CCTV,1998,2008
旋风孝子,真人秀,原创,湖南卫视,2016,2016
炫风车手,真人秀,原创,广东卫视,2015,2015
一路上有你,真人秀,原创,浙江卫视,2015,2016
一年级,真人秀,原创,湖南卫视,2014,2017
一票难求,脱口秀,原创,江苏卫视,2015,2015
一起出发,真人秀,原创,湖北卫视,2015,2016
一千零一夜,脱口秀,原创,优酷土豆,2015,2017
一站到底,选秀,美国,江苏卫视,2012,2017
壹周立波秀,脱口秀,原创,浙江卫视,2010,2015
以一敌百,选秀,荷兰,湖南卫视,2010,2011
艺术人生,脱口秀,原创,CCTV,2001,2017
因为是医生,真人秀,原创,浙江卫视,2014,2015
音乐大师课 第一季,选秀,原创,北京卫视,2015,2016
